,country,country_x,country_y,index,jurisdiction_x,jurisdiction_y,level_0,location_x,location_y,mealsAndIncidentals_x,mealsAndIncidentals_y,season_x,season_y,slug,slug_x,slug_y,total_x,total_y,diff
205,,LITHUANIA,Lithuania,88,US,Canada,205,Vilnius,Vilnius,130.0,,S1,,lithuania-vilnius,,,330.0,119.87806908,0.08443521819862797
206,,LITHUANIA,Lithuania,88,US,UN,206,Vilnius,Vilnius,130.0,,S1,,lithuania-vilnius,,,330.0,239.0,0.3807531380753138
207,,MACEDONIA,MACEDONIA,89,US,UK,207,Skopje,Skopje,73.0,,S1,,macedonia-skopje,,,233.0,194.5438529868291,0.19767341102149563
208,,MADAGASCAR,Madagascar,90,US,Canada,208,Antananarivo,Antananarivo,79.0,,S1,,madagascar-antananarivo,,,237.0,61.920811908870476,0.2758230644046649
209,,MADAGASCAR,MADAGASCAR,90,US,UK,209,Antananarivo,Antananarivo,79.0,,S1,,madagascar-antananarivo,,,237.0,211.42224606850777,0.12097948256213394
210,,MADAGASCAR,Madagascar,90,US,UN,210,Antananarivo,Antananarivo,79.0,,S1,,madagascar-antananarivo,,,237.0,200.0,0.185
211,,MALAWI,Malawi,91,US,Canada,211,Lilongwe,Lilongwe,86.0,,S1,,malawi-lilongwe,,,236.0,92.14378956335597,-0.06667611124384717
212,,MALAWI,MALAWI,91,US,UK,212,Lilongwe,Lilongwe,86.0,,S1,,malawi-lilongwe,,,236.0,138.40382395855664,0.7051551991126153
213,,MALAWI,Malawi,91,US,UN,213,Lilongwe,Lilongwe,86.0,,S1,,malawi-lilongwe,,,236.0,186.0,0.26881720430107525
214,,MALAYSIA,Malaysia,92,US,Canada,214,Kuala Lumpur,Kuala Lumpur,83.0,,S1,,malaysia-kuala-lumpur,,,269.0,91.1733399403002,-0.08964616131921957
215,,MALAYSIA,MALAYSIA,92,US,UK,215,Kuala Lumpur,Kuala Lumpur,83.0,,S1,,malaysia-kuala-lumpur,,,269.0,178.02185515094467,0.511050425645295
216,,MALAYSIA,Malaysia,92,US,UN,216,Kuala Lumpur,Kuala Lumpur,83.0,,S1,,malaysia-kuala-lumpur,,,269.0,225.0,0.19555555555555557
217,,MALI,Mali,93,US,Canada,217,Bamako,Bamako,112.0,,S1,,mali-bamako,,,255.0,89.82704452792251,0.24684053214268986
218,,MALI,MALI,93,US,UK,218,Bamako,Bamako,112.0,,S1,,mali-bamako,,,255.0,196.39369416503936,0.2984123603566968
219,,MALI,Mali,93,US,UN,219,Bamako,Bamako,112.0,,S1,,mali-bamako,,,255.0,249.0,0.024096385542168676
220,,MARSHALL ISLANDS,Marshall Islands,94,US,Canada,220,Majuro,Majuro,76.0,,S1,,marshall-islands-majuro,,,215.0,106.0,-0.2830188679245283
221,,MARSHALL ISLANDS,Marshall Islands,94,US,UN,221,Majuro,Majuro,76.0,,S1,,marshall-islands-majuro,,,215.0,221.0,-0.027149321266968326
222,,MAURITANIA,Mauritania,95,US,Canada,222,Nouakchott,Nouakchott,73.0,,S1,,mauritania-nouakchott,,,189.0,70.9965221481202,0.028219380207102723
223,,MAURITANIA,MAURITANIA,95,US,UK,223,Nouakchott,Nouakchott,73.0,,S1,,mauritania-nouakchott,,,189.0,230.4001425,-0.1796880073544225
224,,MAURITANIA,Mauritania,95,US,UN,224,Nouakchott,Nouakchott,73.0,,S1,,mauritania-nouakchott,,,189.0,189.0,0.0
225,,MEXICO,Mexico,96,US,Canada,225,"Mexico City, D.F.",Mexico City,118.0,,S1,,mexico-mexico-city,,,362.0,111.81111814945065,0.05535122045982113
226,,MEXICO,MEXICO,96,US,UK,226,"Mexico City, D.F.",Mexico City,118.0,,S1,,mexico-mexico-city,,,362.0,266.901454615078,0.35630583400930477
227,,MEXICO,Mexico,96,US,UN,227,"Mexico City, D.F.",Mexico City,118.0,,S1,,mexico-mexico-city,,,362.0,354.0,0.022598870056497175
228,,MOLDOVA,Moldova,97,US,Canada,228,Chisinau,Chisinau,73.0,,S1,,moldova-chisinau,,,234.0,71.06823636,0.027181814815476022
229,,MOLDOVA,MOLDOVA,97,US,UK,229,Chisinau,Chisinau,73.0,,S1,,moldova-chisinau,,,234.0,221.2270468347794,0.05773685156480851
230,,MOLDOVA,Moldova,97,US,UN,230,Chisinau,Chisinau,73.0,,S1,,moldova-chisinau,,,234.0,120.0,0.95
231,,MONACO,Monaco,98,US,UN,231,Monaco,All Areas,137.0,,S1,,monaco,,,594.0,361.0,0.6454293628808865
232,,MONGOLIA,Mongolia,99,US,Canada,232,Ulaanbaatar,Ulaanbaatar,100.0,,S1,,mongolia-ulaanbaatar,,,285.0,55.93,0.7879492222420883
233,,MONGOLIA,MONGOLIA,99,US,UK,233,Ulaanbaatar,Ulaanbaatar,100.0,,S1,,mongolia-ulaanbaatar,,,285.0,148.8479647942819,0.914705386760844
234,,MONGOLIA,Mongolia,99,US,UN,234,Ulaanbaatar,Ulaanbaatar,100.0,,S1,,mongolia-ulaanbaatar,,,285.0,242.0,0.17768595041322313
235,,MONTENEGRO,Montenegro,100,US,Canada,235,Podgorica,Podgorica,88.0,,S1,,montenegro-podgorica,,,299.0,88.3103331,-0.0035141199122030497
236,,MONTENEGRO,MONTENEGRO,100,US,UK,236,Podgorica,Podgorica,88.0,,S1,,montenegro-podgorica,,,299.0,195.985944,0.5256196128024365
237,,MONTENEGRO,Montenegro ,100,US,UN,237,Podgorica,Podgorica,88.0,,S1,,montenegro-podgorica,,,299.0,164.0,0.823170731707317
238,,MOROCCO,Morocco,101,US,Canada,238,Rabat,Rabat,114.0,,S1,,morocco-rabat,,,274.0,87.61517568996706,0.301144454739184
239,,MOROCCO,MOROCCO,101,US,UK,239,Rabat,Rabat,114.0,,S1,,morocco-rabat,,,274.0,228.4147437420017,0.1995723021692839
240,,MOROCCO,Morocco,101,US,UN,240,Rabat,Rabat,114.0,,S1,,morocco-rabat,,,274.0,235.0,0.16595744680851063
241,,MOZAMBIQUE,Mozambique,102,US,Canada,241,Maputo,Maputo,110.0,,S1,,mozambique-maputo,,,330.0,99.67072982859962,0.10363393735716872
242,,MOZAMBIQUE,MOZAMBIQUE,102,US,UK,242,Maputo,Maputo,110.0,,S1,,mozambique-maputo,,,330.0,244.11807968767067,0.35180483322746225
243,,MOZAMBIQUE,Mozambique,102,US,UN,243,Maputo,Maputo,110.0,,S1,,mozambique-maputo,,,330.0,290.0,0.13793103448275862
244,,NAMIBIA,Namibia,103,US,Canada,244,Windhoek,Windhoek,92.0,,S1,,namibia-windhoek,,,242.0,76.12755593028201,0.20849801199783752
245,,NAMIBIA,NAMIBIA,103,US,UK,245,Windhoek,Windhoek,92.0,,S1,,namibia-windhoek,,,242.0,119.01340849068363,1.0333843309675796
246,,NAMIBIA,Namibia,103,US,UN,246,Windhoek,Windhoek,92.0,,S1,,namibia-windhoek,,,242.0,215.0,0.12558139534883722
247,,NEPAL,Nepal,104,US,Canada,247,Kathmandu,Kathmandu,91.0,,S1,,nepal-kathmandu,,,257.0,102.36606692295965,-0.11103354133468574
248,,NEPAL,NEPAL,104,US,UK,248,Kathmandu,Kathmandu,91.0,,S1,,nepal-kathmandu,,,257.0,175.31507826597004,0.4659320951852526
249,,NEPAL,Nepal,104,US,UN,249,Kathmandu,Kathmandu,91.0,,S1,,nepal-kathmandu,,,257.0,178.0,0.4438202247191011
250,,NETHERLANDS,Netherlands,105,US,Canada,250,Amsterdam,Amsterdam,154.0,,S1,,netherlands-amsterdam,,,407.0,182.86188525,-0.15783434153345524
251,,NETHERLANDS,NETHERLANDS,105,US,UK,251,Amsterdam,Amsterdam,154.0,,S1,,netherlands-amsterdam,,,407.0,258.981426,0.5715412733884631
252,,NEW ZEALAND,New Zealand,106,US,Canada,252,Wellington,Wellington,128.0,,S1,,new-zealand-wellington,,,323.0,158.5581027217461,-0.19272495190846586
253,,NEW ZEALAND,NEW ZEALAND,106,US,UK,253,Wellington,Wellington,128.0,,S1,,new-zealand-wellington,,,323.0,290.8714313936191,0.11045625365284913
254,,NICARAGUA,Nicaragua,107,US,Canada,254,Managua,Managua,94.0,,S1,,nicaragua-managua,,,266.0,100.52,-0.06486271388778349
255,,NICARAGUA,NICARAGUA,107,US,UK,255,Managua,Managua,94.0,,S1,,nicaragua-managua,,,266.0,265.5,0.0018832391713747645
256,,NICARAGUA,Nicaragua,107,US,UN,256,Managua,Managua,94.0,,S1,,nicaragua-managua,,,266.0,205.0,0.2975609756097561
257,,NIGER,Niger,108,US,Canada,257,Niamey,Niamey,69.0,,S1,,niger-niamey,,,205.0,100.3949321194428,-0.3127143119345041
258,,NIGER,Niger,108,US,UN,258,Niamey,Niamey,69.0,,S1,,niger-niamey,,,205.0,200.0,0.025
259,,NIGERIA,Nigeria,109,US,Canada,259,Abuja,Abuja,147.0,,S1,,nigeria-abuja,,,571.0,77.87253041727782,0.8877003124504178
260,,NIGERIA,NIGERIA,109,US,UK,260,Abuja,Abuja,147.0,,S1,,nigeria-abuja,,,571.0,299.1309189141365,0.9088631896454064
261,,NIGERIA,Nigeria,109,US,UN,261,Abuja,Abuja,147.0,,S1,,nigeria-abuja,,,571.0,122.0,3.680327868852459
262,,NORWAY,Norway,110,US,Canada,262,Oslo,Oslo,129.0,,S1,,norway-oslo,,,292.0,184.64685461098907,-0.3013690903548015
263,,NORWAY,NORWAY,110,US,UK,263,Oslo,Oslo,129.0,,S1,,norway-oslo,,,292.0,249.5046003084096,0.17031910289053728
264,,OMAN,Oman,111,US,Canada,264,Muscat,Muscat,155.0,,S1,,oman-muscat,,,416.0,152.20833172488648,0.018341100276687925
265,,OMAN,OMAN,111,US,UK,265,Muscat,Muscat,155.0,,S1,,oman-muscat,,,416.0,435.51239432727175,-0.04480330429496088
266,,OMAN,Oman,111,US,UN,266,Muscat,Muscat,155.0,,S1,,oman-muscat,,,416.0,278.0,0.49640287769784175
267,,PAKISTAN,Pakistan,112,US,Canada,267,Islamabad,Islamabad,55.0,,S1,,pakistan-islamabad,,,125.0,69.47366779629826,-0.20833314628984442
268,,PAKISTAN,Pakistan,112,US,UN,268,Islamabad,Islamabad (Marriott),55.0,,S1,,pakistan-islamabad,,,125.0,249.0,-0.4979919678714859
269,,PANAMA,Panama,113,US,Canada,269,Panama City,Panama City,99.0,,S1,,panama-panama-city,,,272.0,136.88,-0.27673874926943304
270,,PANAMA,PANAMA,113,US,UK,270,Panama City,Panama City,99.0,,S1,,panama-panama-city,,,272.0,238.0,0.14285714285714285
271,,PANAMA,Panama,113,US,UN,271,Panama City,Panama City,99.0,,S1,,panama-panama-city,,,272.0,263.0,0.034220532319391636
272,,PAPUA NEW GUINEA,Papua New Guinea,114,US,Canada,272,Port Moresby,Port Moresby,93.0,,S1,,papua-new-guinea-port-moresby,,,388.0,142.3630937450239,-0.346740805123514
273,,PAPUA NEW GUINEA,PAPUA NEW GUINEA,114,US,UK,273,Port Moresby,Port Moresby,93.0,,S1,,papua-new-guinea-port-moresby,,,388.0,294.9857648957434,0.31531770740574744
274,,PAPUA NEW GUINEA,Papua New Guinea,114,US,UN,274,Port Moresby,Port Moresby,93.0,,S1,,papua-new-guinea-port-moresby,,,388.0,352.0,0.10227272727272728
275,,PARAGUAY,Paraguay,115,US,Canada,275,Asuncion,Asunción,104.0,,S1,,paraguay-asuncion,,,271.0,57.668693026681005,0.8034048379054359
276,,PARAGUAY,Paraguay,115,US,UN,276,Asuncion,Asuncion,104.0,,S1,,paraguay-asuncion,,,271.0,217.0,0.2488479262672811
277,,PERU,Peru,116,US,Canada,277,Lima,Lima,108.0,,S2,,peru-lima,,,358.0,142.58677996013932,-0.24256652664299025
278,,PERU,PERU,116,US,UK,278,Lima,Lima,108.0,,S2,,peru-lima,,,358.0,279.41111609791716,0.28126613214107793
279,,PERU,Peru,116,US,UN,279,Lima,Lima,108.0,,S2,,peru-lima,,,358.0,240.0,0.49166666666666664
280,,PHILIPPINES,Philippines,117,US,Canada,280,Manila,Manila,110.0,,S1,,philippines-manila,,,289.0,106.75173028495949,0.03042826290842954
