"Country - (Currency)Area","First 60DaysUS$","First 60 DaysLocal",">60 DaysLocal","Roomas %ofDSA","EffectiveDated/mm/y","SurveyDated/mm/y",Notes
Baku (Four Seasons),332,560,423,61,1/3/18,1/9/17,1
Baku (JV Absheron Marriott),256,435,326,65,1/3/18,1/9/17,1
Tabriz (Nakhichevan),121,205,155,63,1/3/18,1/9/17,1
Elsewhere,92,156,117,59,1/3/18,1/9/17,
Bahamas (Bahamian Dollar),,,,,,,
All Areas (20 Dec.-20 Apr.),447,447,335,60,1/3/16,1/3/16,
All Areas (21 Apr.-19 Dec.),434,434,326,59,1/3/16,1/3/16,
Bahrain (Bahraini Dinar),,,,,,,
Manama,316,119,89,57,1/2/18,1/11/16,
Manama (Movenpick),382,144,108,59,1/2/18,1/11/16,1
Bangladesh (Bangladesh Taka),,,,,,,
Dhaka,139,"11,600","8,670",66,1/3/18,1/6/17,
