"Country - (Currency)Area","First 60DaysUS$","First 60 DaysLocal",">60 DaysLocal","Roomas %ofDSA","EffectiveDated/mm/y","SurveyDated/mm/y",Notes
Quito (JW Marriott),217,217,163,58,1/1/18,1/1/18,1
Cuenca,172,172,129,51,1/1/18,1/1/18,
Galapagos,225,225,169,55,1/1/18,1/1/18,
Galapagos (Red Mangrove),500,500,375,68,1/1/18,1/1/18,1
Guayaquil,244,244,183,61,1/1/18,1/1/18,
Manta,205,205,154,54,1/1/18,1/1/18,
Santo Domingo,179,179,134,50,1/1/18,1/1/18,
Elsewhere,132,132,99,51,1/1/18,1/1/18,
Egypt (Egyptian Pound),,,,,,,
Cairo,278,"4,900","3,680",58,1/3/18,1/7/17,
Alexandria,228,"4,020","3,010",68,1/3/18,1/7/17,
Aswan and Luxor,275,"4,840","3,630",52,1/3/18,1/7/17,
Ismailia,185,"3,260","2,450",73,1/3/18,1/7/17,
Sahl Hasheesh (Baron Palace),204,"3,590","2,690",87,1/3/18,1/7/17,"1,7"
Sharm El Sheikh,207,"3,650","2,730",51,1/3/18,1/7/17,
Elsewhere,162,"2,850","2,150",49,1/3/18,1/7/17,
El Salvador (US Dollar),,,,,,,
San Salvador,250,250,188,61,1/5/17,1/5/17,
Elsewhere,125,125,94,51,1/5/17,1/5/17,
Equatorial Guinea (CFA Franc(XAF)),,,,,,,
Malabo,247,"132,000","99,000",67,1/3/18,1/8/17,
Malabo (Hilton),550,"295,000","221,000",73,1/3/18,1/8/17,1
"Malabo (Sofitel President, Tres de Agosto)",368,"197,000","148,000",64,1/3/18,1/8/17,1
Malabo (Sofitel Sipopo),500,"268,000","201,000",68,1/3/18,1/8/17,1
Bata,236,"126,000","94,500",59,1/3/18,1/8/17,
Mongomo,294,"157,000","118,000",64,1/3/18,1/8/17,
Elsewhere,116,"62,200","46,700",54,1/3/18,1/8/17,
Eritrea (Nafka),,,,,,,
Asmara,215,"3,230","2,420",32,1/10/17,1/10/17,
Assab,130,"1,950","1,460",17,1/10/17,1/10/17,
Keren,165,"2,480","1,860",25,1/10/17,1/10/17,
Massawa,219,"3,280","2,460",29,1/10/17,1/10/17,
Tessenei,125,"1,870","1,400",36,1/10/17,1/10/17,
Elsewhere,93,"1,390","1,390",28,1/10/17,1/10/17,
Estonia (Euro),,,,,,,
Tallinn,321,262,197,49,1/3/18,1/2/18,
Elsewhere,277,226,170,47,1/3/18,1/2/18,
Ethiopia (Ethiopian Birr),,,,,,,
Addis Ababa,198,"5,440","4,090",56,1/3/18,1/7/17,
Addis Ababa (Hilton),386,"10,600","7,970",64,1/3/18,1/7/17,1
"Addis Ababa (Marriott Executive Apartments, Radisson Blu)",297,"8,160","6,130",56,1/3/18,1/7/17,1
Addis Ababa (Sheraton),499,"13,700","10,300",65,1/3/18,1/7/17,1
Awassa (Haile Resort),231,"6,350","4,750",74,1/3/18,1/12/14,1
Bahir Dar & Debrezeit (Kuriftu),214,"5,880","4,420",74,1/3/18,1/12/14,1
Mekele (Planet),221,"6,070","4,560",78,1/3/18,1/12/14,1
Elsewhere,83,"2,280","1,700",60,1/3/18,1/12/14,
Elsewhere (Resident),50,"1,370","1,040",52,1/3/18,1/12/12,
Fiji (Fiji Dollar),,,,,,,
Suva,258,510,383,58,1/2/18,1/2/18,
Suva (Grand Pacific Hotel),520,"1,020",770,69,1/2/18,1/2/18,1
Coral Coast,313,620,465,59,1/2/18,1/2/18,
Denarau (Hilton),580,"1,150",860,69,1/2/18,1/2/18,1
"Denarau (Radisson, Sheraton, Sofitel, Westin)",424,840,630,57,1/2/18,1/2/18,1
Nadi,185,366,275,53,1/2/18,1/2/18,
Pacific Harbour,235,466,350,62,1/2/18,1/2/18,
Elsewhere,149,295,221,57,1/2/18,1/2/18,
Finland (Euro),,,,,,,
Helsinki,351,286,215,56,1/3/18,1/7/17,
Elsewhere,308,251,188,52,1/3/18,1/7/17,
France (Euro),,,,,,,
Paris,401,327,245,52,1/3/18,1/6/17,
Elsewhere,342,279,209,53,1/3/18,1/12/17,
Gabon (CFA Franc(XAF)),,,,,,,
Libreville,365,"195,000","146,000",53,1/3/18,1/5/17,
"Libreville (Le Cristal, Royal Palm)",600,"319,000","239,000",61,1/3/18,1/5/17,1
Libreville (Park Inn by Radisson),480,"257,000","193,000",59,1/3/18,1/5/17,1
Libreville (Radisson Blu Okoume Palace),710,"379,000","284,000",68,1/3/18,1/5/17,1
Francesville,158,"84,500","63,400",50,1/3/18,1/5/17,
Lambarene,181,"96,900","72,700",50,1/3/18,1/5/17,
Oyem,162,"86,800","65,100",60,1/3/18,1/5/17,
Port Gentil,366,"196,000","147,000",64,1/3/18,1/5/17,
Elsewhere,125,"67,100","50,300",47,1/3/18,1/8/15,
Gambia (Gambian Dalasi),,,,,,,
Banjul,194,"9,230","6,940",65,1/3/18,1/7/17,
Banjul (Kairaba Beach),242,"11,500","8,660",67,1/3/18,1/7/17,1
Tendaba,66,"3,140","2,380",54,1/3/18,1/7/17,
Elsewhere,42,"2,000","1,520",40,1/3/18,1/7/17,
"Georgia, Republic of (Georgian Lari)",,,,,,,
Tbilisi,181,447,336,56,1/3/18,1/8/17,
Tbilisi (Radisson),296,730,550,68,1/3/18,1/8/17,1
Tbilisi (Tbilisi Marriott),236,580,437,72,1/3/18,1/8/17,1
Batumi,185,457,343,61,1/3/18,1/8/17,
"Batumi (Radisson Blu, Sheraton) July-August",210,520,390,67,1/3/18,1/8/17,1
Kobuleti (Georgia Palace) Jun-Sep,213,530,395,66,1/3/18,1/8/17,1
Elsewhere,142,351,264,63,1/3/18,1/8/17,
Germany (Euro),,,,,,,
Berlin,346,282,212,51,1/3/18,1/12/17,
Bonn,293,239,179,52,1/3/18,1/12/17,
Hamburg,326,266,200,57,1/3/18,1/12/17,
Munich,319,260,195,61,1/3/18,1/12/17,
Elsewhere,280,228,171,55,1/3/18,1/12/17,
Ghana (New Cedi),,,,,,,
Accra,398,"1,780","1,340",60,1/3/18,1/1/17,
Accra (Best  Western Premier),475,"2,120","1,590",66,1/3/18,1/1/17,1
Aburi (Peduase Valley Resort),403,"1,800","1,350",55,1/3/18,1/1/17,1
Akosombo,357,"1,600","1,200",50,1/3/18,1/1/17,
Elmina,388,"1,740","1,300",76,1/3/18,1/1/17,
Ho (Volta Serene),309,"1,380","1,040",58,1/3/18,1/1/17,1
Kumasi (Golden Tulip),360,"1,610","1,210",64,1/3/18,1/1/17,1
Takoradi,282,"1,260",950,59,1/3/18,1/1/17,
"Takoradi (Planters Lodge, Protea)",294,"1,310",990,51,1/3/18,1/1/17,1
Tamale,311,"1,390","1,040",66,1/3/18,1/1/17,
Elsewhere,260,"1,160",870,58,1/3/18,1/1/17,
Gibraltar (Gibraltar Pound),,,,,,,
All Areas,357,216,162,72,1/12/17,1/12/17,
Greece (Euro),,,,,,,
Athens,310,253,190,57,1/3/18,1/11/17,
Thessaloniki,172,140,105,56,1/3/18,1/11/17,
Elsewhere,163,133,100,54,1/3/18,1/11/17,
Grenada (E.C. Dollar),,,,,,,
All Areas (15 Dec.-15 Apr.),344,930,700,61,1/10/17,1/10/17,
All Areas (16 Apr.-14 Dec.),322,870,650,60,1/10/17,1/10/17,
Guam (US Dollar),,,,,,,
All Areas,307,307,230,61,1/12/17,1/12/17,
Guatemala (Quetzal(es)),,,,,,,
Guatemala City,185,"1,360","1,020",49,1/3/18,1/1/17,
"Guatemala City (Real Intercontinental, Westin Camino Real, Loftell Fontabella)",293,"2,160","1,620",58,1/3/18,1/1/17,1
Antigua,213,"1,570","1,180",57,1/3/18,1/1/17,
Antigua (Finca Filadelfia),282,"2,080","1,560",63,1/3/18,1/11/15,1
Antigua (La Reunion),338,"2,490","1,870",58,1/3/18,1/1/17,1
Chichicastenango,162,"1,190",900,64,1/3/18,1/1/17,7
Panajachel,165,"1,220",910,56,1/3/18,1/1/17,
Panajachel (Hotel Atitlan),248,"1,830","1,370",61,1/3/18,1/1/17,1
Elsewhere,81,600,450,55,1/3/18,1/6/17,
Guinea (Guinean Franc),,,,,,,
Conakry,240,"2,166,000","1,625,000",53,1/3/18,1/8/17,
Conakry (Noom),384,"3,466,000","2,599,000",62,1/3/18,1/8/17,1
Conakry (Palm Camayenne),415,"3,745,000","2,807,000",65,1/3/18,1/8/17,1
Conakry (Sheraton Grand),452,"4,079,000","3,059,000",66,1/3/18,1/8/17,1
Elsewhere,116,"1,047,000","785,000",47,1/3/18,1/8/17,
Guinea Bissau (CFA Franc(XOF)),,,,,,,
Bissau,175,"93,800","70,400",64,1/3/18,1/5/17,
Bissau (Ledger Plaza),297,"159,000","119,000",67,1/3/18,1/5/17,1
Bafata,115,"61,500","46,100",73,1/3/18,1/5/17,
Quinhamel,126,"67,300","50,500",52,1/3/18,1/5/17,
Elsewhere,79,"42,300","31,700",55,1/3/18,1/5/17,
Guyana (Guyana Dollar),,,,,,,
Georgetown,265,"54,900","41,200",63,1/3/18,1/6/17,
Georgetown (Pegasus Hotel),358,"74,100","55,700",68,1/3/18,1/6/17,1
Linden,139,"28,800","21,600",63,1/3/18,1/6/17,
New Amsterdam,135,"28,000","21,000",57,1/3/18,1/6/17,
Elsewhere,130,"27,000","20,300",46,1/3/18,1/6/17,
Haiti (Gourde),,,,,,,
Port-Au-Prince,221,"14,200","10,700",62,1/3/18,1/9/17,
Port-au-Prince (Karibe),265,"17,000","12,800",66,1/3/18,1/9/17,1
Port-au-Prince (Marriott),298,"19,200","14,400",70,1/3/18,1/9/17,1
Cap Haitien and Jacmel,181,"11,600","8,750",67,1/3/18,1/9/17,
Cote des Arcadins,210,"13,500","10,200",63,1/3/18,1/9/17,
Jeremie and Les Cayes,175,"11,300","8,420",58,1/3/18,1/9/17,
Port-de-Paix,140,"9,000","6,750",67,1/3/18,1/9/17,
Elsewhere,128,"8,230","6,170",69,1/3/18,1/9/17,
Honduras (Lempira),,,,,,,
Tegucigalpa,206,"4,860","3,660",61,1/3/18,1/7/16,
Copán,171,"4,030","3,020",63,1/3/18,1/7/16,
La Ceiba,137,"3,230","2,430",56,1/3/18,1/7/16,
Roatan,233,"5,500","4,130",87,1/3/18,1/7/16,
San Pedro Sula,189,"4,460","3,350",60,1/3/18,1/7/16,
Elsewhere,102,"2,410","1,820",59,1/3/18,1/7/16,
Hungary (Forint),,,,,,,
Budapest,288,"73,700","55,300",65,1/3/18,1/6/17,
Balaton,191,"48,900","36,600",69,1/3/18,1/6/17,
Visegrad,171,"43,800","32,800",61,1/3/18,1/6/17,
Elsewhere,130,"33,300","25,100",70,1/3/18,1/6/17,
Iceland (Iceland Krona),,,,,,,
All Areas (May - Sept),442,"44,600","33,500",63,1/3/18,1/8/16,
All Areas (Oct. - Apr.),346,"34,900","26,200",56,1/3/18,1/8/16,
India (Indian Rupee),,,,,,,
New Delhi (April - August),223,"14,500","10,900",51,1/3/18,1/11/17,
New Delhi (September - March),254,"16,500","12,400",56,1/3/18,1/11/17,
"New Delhi Special Hotels (April -August)",265,"17,200","12,900",59,1/3/18,1/11/17,"1,12"
"New Delhi Special Hotels (September- March)",313,"20,300","15,200",64,1/3/18,1/11/17,"1,12"
Agra,301,"19,500","14,600",71,1/3/18,1/11/17,
Bangalore,214,"13,900","10,400",66,1/3/18,1/11/17,
Bangalore (Special Hotels),273,"17,700","13,300",65,1/3/18,1/11/17,"1,19"
Calcutta,322,"20,900","15,700",66,1/3/18,1/11/17,
Chandigarh (The Lalit),321,"20,800","15,600",71,1/3/18,1/11/17,1
Chennai,199,"12,900","9,680",62,1/3/18,1/11/17,
Goa,202,"13,100","9,830",63,1/3/18,1/11/17,
Hyderabad,193,"12,500","9,380",57,1/3/18,1/11/17,
Hyderabad (ITC Kakatiya),237,"15,400","11,600",61,1/3/18,1/11/17,1
Jaipur,324,"21,000","15,800",68,1/3/18,1/11/17,
Mumbai,284,"18,400","13,800",58,1/3/18,1/11/17,
Mumbai (Special hotels),331,"21,500","16,100",63,1/3/18,1/11/17,"1,20"
Srinagar,350,"22,700","17,000",67,1/3/18,1/11/17,
Elsewhere,185,"12,000","9,000",61,1/3/18,1/11/17,
Indonesia (Rupiah),,,,,,,
Jakarta,207,"2,832,000","2,120,000",59,1/3/18,1/9/17,
"Jakarta (JW Marriott, Mandarin Oriental, Ritz Carlton)",313,"4,282,000","3,215,000",67,1/3/18,1/9/17,1
Jakarta (Shangri-la),417,"5,704,000","4,282,000",70,1/3/18,1/9/17,1
Jakarta (Westin),276,"3,775,000","2,832,000",65,1/3/18,1/9/17,1
Ambon,120,"1,641,000","1,231,000",50,1/3/18,1/9/17,
Balik Papan,110,"1,505,000","1,135,000",53,1/3/18,1/9/17,
Bandung,141,"1,929,000","1,450,000",54,1/3/18,1/9/17,
Bogor City,133,"1,819,000","1,368,000",65,1/3/18,1/9/17,
Denpasar,217,"2,968,000","2,230,000",65,1/3/18,1/9/17,
Jayapura,121,"1,655,000","1,245,000",65,1/3/18,1/9/17,
Makassar,130,"1,778,000","1,341,000",49,1/3/18,1/9/17,
Medan,132,"1,806,000","1,354,000",59,1/3/18,1/9/17,
Menado,105,"1,436,000","1,081,000",56,1/3/18,1/9/17,
"Nusa Dua (Ayodya, Westin)",474,"6,484,000","4,870,000",64,1/3/18,1/11/17,1
"Nusa Dua (Courtyard by Marriott, Intercontinental, Novotel)",271,"3,707,000","2,777,000",58,1/3/18,1/11/17,1
"Nusa Dua (Grand Hyatt, Laguna Bali)",424,"5,800,000","4,350,000",59,1/3/18,1/11/17,1
Nusa Dua (Melia Bali),374,"5,116,000","3,844,000",60,1/3/18,1/11/17,1
Senggigi,169,"2,312,000","1,737,000",63,1/3/18,1/9/17,
Surabaya,115,"1,573,000","1,176,000",57,1/3/18,1/9/17,
Surabaya (Shangri-la),306,"4,186,000","3,146,000",58,1/3/18,1/9/17,1
Yogyakarta,121,"1,655,000","1,245,000",57,1/3/18,1/9/17,
Elsewhere,102,"1,395,000","1,053,000",56,1/3/18,1/9/17,
Iran (Iranian Rial),,,,,,,
Tehran,225,"10,107,000","7,580,000",69,1/3/18,1/7/17,
Kerman (Pars),173,"7,751,000","5,813,000",71,1/3/18,1/7/17,1
Mashad,118,"5,282,000","3,962,000",60,1/3/18,1/7/17,
Elsewhere,111,"4,959,000","3,719,000",61,1/3/18,1/7/17,
Iraq (Iraqi Dinar),,,,,,,
Baghdad,275,"322,000","241,000",64,1/12/16,1/12/16,
Baghdad (Al Rasheed Hotel),446,"522,000","391,000",64,1/12/16,1/12/16,1
Basra,212,"248,000","186,000",67,1/12/16,1/12/16,
Basra (Basra International Hotel),335,"392,000","294,000",63,1/12/16,1/12/16,1
Erbil (Divan and Rotana),401,"469,000","352,000",59,1/12/16,1/12/16,1
Suleimaniyah,142,"166,000","125,000",60,1/12/16,1/12/16,
Elsewhere,195,"228,000","171,000",61,1/6/17,1/12/16,
Ireland (Euro),,,,,,,
All Areas,317,258,194,58,1/3/18,1/6/17,
Israel (Shekel),,,,,,,
Tel Aviv,382,"1,330","1,000",64,1/3/18,1/12/16,
Eilat,301,"1,050",790,69,1/3/18,1/12/16,
Haifa,316,"1,100",820,62,1/3/18,1/12/16,
Herzliya,253,880,660,67,1/3/18,1/12/16,
Jerusalem,282,980,740,60,1/3/18,1/12/16,
Tiberias,263,910,690,74,1/3/18,1/12/16,
Elsewhere,264,920,690,61,1/3/18,1/12/16,
Italy (Euro),,,,,,,
Rome,340,277,208,49,1/3/18,1/10/17,
Bologna,288,235,176,50,1/3/18,1/10/17,
Florence,277,226,170,58,1/3/18,1/10/17,
Milan,333,271,203,49,1/3/18,1/10/17,
Naples,315,257,193,64,1/3/18,1/10/17,
Palermo,329,268,201,53,1/3/18,1/10/17,
Trieste,271,221,166,38,1/3/18,1/10/17,
Turin,287,234,176,53,1/3/18,1/10/17,
Venice,377,307,230,58,1/3/18,1/10/17,
Elsewhere,178,145,109,43,1/3/18,1/2/17,
Jamaica (Jamaican Dollar),,,,,,,
Kingston,294,"37,300","28,000",57,1/3/18,1/7/17,
Elsewhere (15 Dec. -15 Apr.),341,"43,300","32,500",87,1/3/18,1/7/17,7
Elsewhere (16 Apr. -14 Dec.),282,"35,800","26,900",87,1/3/18,1/7/17,7
Japan (Yen),,,,,,,
Tokyo,328,"35,200","26,400",58,1/3/18,1/2/18,
Tokyo (Imperial),570,"61,300","46,000",72,1/3/18,1/2/18,1
"Tokyo (New Otani, Okura)",492,"52,800","39,600",63,1/3/18,1/2/18,1
Tokyo (Palace),700,"75,100","56,300",67,1/3/18,1/2/18,1
Fukuoka,264,"28,300","21,200",57,1/3/18,1/2/18,
Kobe,230,"24,700","18,500",59,1/3/18,1/2/18,
Kyoto,295,"31,600","23,700",59,1/3/18,1/2/18,
Nagoya,269,"28,800","21,600",58,1/3/18,1/2/18,
Osaka,265,"28,400","21,300",59,1/3/18,1/2/18,
Yokohama,300,"32,200","24,200",51,1/3/18,1/2/18,
Elsewhere,213,"22,800","17,100",57,1/3/18,1/2/18,
Jordan (Jordanian Dinar),,,,,,,
Amman,233,165,124,59,1/6/17,1/6/17,
Amman (Four Seasons),407,288,216,53,1/6/17,1/6/17,1
Amman (Sheraton),359,254,191,60,1/6/17,1/6/17,1
"Aqaba, Dead Sea, Petra",242,171,128,57,1/6/17,1/6/17,
Azraq,138,98,74,56,1/6/17,1/6/17,
"Irbid (Sedrah, Seven Days Hotel)",171,121,91,54,1/6/17,1/6/17,1
Jerusalem,282,200,150,60,1/6/17,1/12/16,10
Ruwaished,127,90,68,50,1/6/17,1/6/17,
Elsewhere,82,58,44,43,1/6/17,1/6/17,
Kazakhstan (Tenge),,,,,,,
Astana,182,"58,000","43,700",44,1/3/18,1/11/17,
Astana (Ritz Carlton),630,"201,000","151,000",74,1/3/18,1/11/17,1
Astana (Rixos President and Soluxe),263,"83,900","62,800",57,1/3/18,1/11/17,1
Aktau,137,"43,700","32,800",52,1/3/18,1/11/17,
Aktau (Renaissance),289,"92,200","69,200",70,1/3/18,1/11/17,1
Aktobe,128,"40,800","30,600",50,1/3/18,1/11/17,
Almaty,174,"55,500","41,800",45,1/3/18,1/11/17,
Almaty (Ritz Carlton),413,"132,000","98,800",69,1/3/18,1/11/17,1
Atyrau,140,"44,600","33,500",45,1/3/18,1/11/17,
Atyrau (Renaissance),345,"110,000","82,600",70,1/3/18,1/11/17,1
Schuchinsk-Burabay,213,"67,900","51,000",59,1/3/18,1/11/17,
Shymkent,130,"41,500","31,200",54,1/3/18,1/11/17,
Shymkent (Rixos Khadisha),307,"97,900","73,300",73,1/3/18,1/11/17,1
Ust-Kamenogorsk,126,"40,200","30,300",52,1/3/18,1/11/17,
Elsewhere,116,"37,000","27,700",51,1/3/18,1/11/17,
Kenya (Kenyan Shilling),,,,,,,
Nairobi,282,"28,700","21,500",63,1/3/18,1/3/18,
Nairobi (Nairobi Serena),400,"40,700","30,500",68,1/3/18,1/3/18,1
"Kajiado, Kitui, Mwingi",42,"4,270","3,200",48,1/3/18,1/3/18,
Kisumu (Acacia Premier),186,"18,900","14,200",66,1/3/18,1/3/18,1
Machakos,125,"12,700","9,550",60,1/3/18,1/3/18,
Makueni,71,"7,220","5,390",50,1/3/18,1/3/18,
"Marsabit. Isiolo, Garissa, Dadaab, Wajir",66,"6,710","5,080",55,1/3/18,1/3/18,
Masai Mara (Fairmount Mara Safari Club),219,"22,300","16,700",87,1/3/18,1/3/18,"1,7"
Masai Mara (Sarova Mara Game Camp),183,"18,600","13,900",87,1/3/18,1/3/18,"1,7"
Mombasa,169,"17,200","12,900",65,1/3/18,1/3/18,7
Naivasha,190,"19,300","14,500",87,1/3/18,1/3/18,7
Naivasha (Enashipai),224,"22,800","17,100",87,1/3/18,1/3/18,"1,7"
Nanyuki (Fairmont Mt. Kenya Safari Club),294,"29,900","22,500",87,1/3/18,1/3/18,"1,7"
Nanyuki (Sweetwaters Tented Camp),119,"12,100","9,050",87,1/3/18,1/3/18,"1,7"
Tana River,75,"7,620","5,690",87,1/3/18,1/3/18,7
Turkana County and Lodwar,92,"9,350","7,010",66,1/3/18,1/3/18,
Elsewhere,176,"17,900","13,400",64,1/3/18,1/3/18,7
Kiribati (AUL Dollar),,,,,,,
Christmas Island,126,161,121,71,1/3/18,1/2/18,
All Other Areas,148,189,142,63,1/3/18,1/2/18,
Outer Islands,122,156,117,55,1/3/18,1/2/18,
"Korea, Dem. Peo. of (N. Korean Won)",,,,,,,
Pyongyang,275,"28,300","21,200",64,1/3/18,1/9/17,
Elsewhere,104,"10,700","8,030",59,1/3/18,1/9/17,
"Korea, Republic of (S. Korean Won)",,,,,,,
Seoul,345,"370,000","278,000",60,1/3/18,1/12/17,
Changwon,253,"271,000","203,000",59,1/3/18,1/12/17,
Cheju Island,279,"299,000","224,000",63,1/3/18,1/12/17,
Daejon,189,"203,000","152,000",54,1/3/18,1/12/17,
Gangneung,228,"244,000","183,000",60,1/3/18,1/12/17,
Incheon,216,"231,000","173,000",53,1/3/18,1/12/17,
Kwangju,244,"261,000","196,000",60,1/3/18,1/12/17,
Kyungju,291,"312,000","234,000",61,1/3/18,1/12/17,
Pusan,260,"278,000","209,000",56,1/3/18,1/12/17,
Pyeongchang,279,"299,000","224,000",65,1/3/18,1/12/17,
Taegu,246,"264,000","198,000",63,1/3/18,1/12/17,
Ulsan,239,"256,000","192,000",55,1/3/18,1/12/17,
Yeosu,264,"283,000","212,000",63,1/3/18,1/12/17,
Elsewhere,171,"183,000","137,000",56,1/3/18,1/12/17,
Kuwait (Kuwaiti Dinar),,,,,,,
Kuwait City,417,125,94,65,1/2/18,1/9/17,
Kuwait City (Sheraton Four Points),550,165,124,63,1/2/18,1/9/17,1
Kyrgyzstan (Som),,,,,,,
Bishkek,196,"13,300","10,000",66,1/3/18,1/12/17,
Bishkek (Hyatt Regency),302,"20,600","15,400",78,1/3/18,1/12/17,1
Issyk-kul (1 Jan - 30 Jun),128,"8,710","6,530",67,1/3/18,1/12/17,
Issyk-kul (1 Jul - 15 Sep),213,"14,500","10,900",75,1/3/18,1/12/17,
Issyk-kul (16 Sep - 31 Dec),129,"8,780","6,600",67,1/3/18,1/12/17,
Osh,96,"6,530","4,900",66,1/3/18,1/12/17,
Elsewhere,56,"3,810","2,860",58,1/3/18,1/12/17,
Lao Peo. Dem. Rep. (Kip),,,,,,,
Vientiane,175,"1,453,000","1,087,000",61,1/3/18,1/4/17,
"Vientiane (Crowne Plaza, Settha Palace)",205,"1,702,000","1,278,000",63,1/3/18,1/4/17,1
"Kaysone Phomvihanh, Pakse, Pek, Thakhek",83,"689,000","515,000",55,1/3/18,1/4/17,
Luang Prabang,112,"930,000","697,000",61,1/3/18,1/4/17,
"Luang Prabang (Grand Luang Prabang, Le Palais Juliana, Luang Prabang View, Villa Santi)",182,"1,511,000","1,137,000",62,1/3/18,1/4/17,1
Luang Prabang (Victoria Xiengthong),272,"2,258,000","1,693,000",67,1/3/18,1/4/17,1
"Vangvieng, Xay",98,"813,000","614,000",59,1/3/18,1/4/17,
Elsewhere,66,"548,000","415,000",47,1/3/18,1/4/17,
Latvia (Euro),,,,,,,
Riga,206,168,126,57,1/3/18,1/10/17,
Jurmala,256,209,157,56,1/3/18,1/10/17,
Elsewhere,153,125,94,49,1/3/18,1/10/17,
Lebanon (Lebanese Pound),,,,,,,
Beirut (Le Royal),460,"696,000","522,000",65,1/3/18,1/4/17,1
Beirut (Movenpick) 1 January - 14 June,314,"475,000","357,000",53,1/3/18,1/2/16,1
Beirut (Movenpick) 15 June - 31 December,377,"571,000","428,000",58,1/3/18,1/2/16,1
Greater Beirut,246,"372,000","280,000",66,1/3/18,1/4/17,
Al Metn,298,"451,000","339,000",59,1/3/18,1/4/17,
Tyr (Tyr Rest House),273,"413,000","310,000",50,1/3/18,1/4/17,1
Elsewhere,147,"222,000","166,000",45,1/3/18,1/4/17,
Lesotho (Loti),,,,,,,
Maseru,107,"1,250",940,57,1/3/18,1/5/17,
Maseru (Avani Lesotho Hotel & Casino),322,"3,760","2,820",70,1/3/18,1/5/17,1
Maseru (Avani Maseru Sun),210,"2,460","1,850",69,1/3/18,1/5/17,1
Maseru (Mpilo Boutique Hotel),261,"3,050","2,290",69,1/3/18,1/5/17,1
Butha-Buthe (New Oxbow Lodge),170,"1,990","1,490",57,1/3/18,1/5/17,1
Leribe,115,"1,350","1,010",61,1/3/18,1/5/17,
Leribe (Maliba Mountain Lodge),340,"3,970","2,980",73,1/3/18,1/5/17,"1,7"
Mohale's Hoek,109,"1,270",950,63,1/3/18,1/5/17,
Teyateyaneng,115,"1,350","1,010",60,1/3/18,1/5/17,
Thaba-Tseka (Orion Katse Lodge),127,"1,490","1,120",60,1/3/18,1/5/17,1
Elsewhere,109,"1,270",950,56,1/3/18,1/5/17,
Liberia (Liberian Dollar),,,,,,,
Monrovia,303,"35,800","35,800",58,1/1/18,1/1/18,
Robertsfield (Farmington Hotel),240,"28,400","21,300",50,1/1/18,1/1/18,1
Robertsport (Nana Lodge GH),140,"16,600","12,400",71,1/1/18,1/1/18,1
Elsewhere,95,"11,200","11,200",59,1/1/18,1/1/18,
Libya (Libyan Dinar),,,,,,,
Tripoli,216,286,215,65,1/3/18,1/6/15,
"Tripoli (Albustan, Corinthia, Radisson Blu)",335,444,333,71,1/3/18,1/6/15,1
Elsewhere,177,235,176,61,1/3/18,1/6/15,
Lithuania (Euro),,,,,,,
Vilnius,239,195,146,60,1/3/18,1/3/17,
Elsewhere,161,131,98,60,1/3/18,1/3/17,
Luxembourg (Euro),,,,,,,
All Areas,383,312,234,60,1/3/18,1/12/17,
Madagascar (Ariary (New Madagascar Franc)),,,,,,,
Antananarivo,200,"627,000","470,000",66,1/3/18,1/6/17,
Antananarivo (Carlton),469,"1,471,000","1,104,000",79,1/3/18,1/6/17,1
Amboassary,70,"219,000","166,000",56,1/3/18,1/6/17,
Antsirabe,94,"295,000","223,000",64,1/3/18,1/6/17,
Antsiranana (Diego-Suarez),182,"571,000","430,000",64,1/3/18,1/6/17,
Fianarantsoa,81,"254,000","191,000",47,1/3/18,1/6/17,
Mahajanga,102,"320,000","241,000",62,1/3/18,1/6/17,
Morondava,119,"373,000","279,000",64,1/3/18,1/6/17,
Morondava (Palissandre Cote Ouest),208,"652,000","489,000",87,1/3/18,1/6/17,"1,7"
Nosy-Be,261,"818,000","615,000",71,1/3/18,1/6/17,
Ranomafana,87,"273,000","204,000",57,1/3/18,1/6/17,
Sainte Marie,274,"859,000","646,000",77,1/3/18,1/6/17,
Toamasina,134,"420,000","317,000",66,1/3/18,1/6/17,
Tolagnaro (Fort-Dauphin),97,"304,000","229,000",63,1/3/18,1/6/17,
Toliara,107,"336,000","251,000",62,1/3/18,1/6/17,
Elsewhere,63,"198,000","147,000",53,1/3/18,1/6/17,
Malawi (Malawi Kwacha),,,,,,,
Lilongwe,186,"135,000","102,000",65,1/1/18,1/1/18,
Blantyre,150,"109,000","81,900",61,1/1/18,1/1/18,
Blantyre (Mt. Soche & Ryalls),221,"161,000","121,000",69,1/1/18,1/1/18,1
Mangochi (Makokola Retreat),236,"172,000","129,000",70,1/1/18,1/1/18,1
Mangochi (Sunbird Nkopola Lodge),190,"138,000","104,000",66,1/1/18,1/1/18,1
Mzuzu (Hotel Mzuzu),207,"151,000","113,000",68,1/1/18,1/1/18,2
"Salima (Livingstonia Beach, Safari Beach)",221,"161,000","121,000",69,1/1/18,1/1/18,1
Zomba (Ku Chawe Inn),225,"164,000","123,000",69,1/1/18,1/1/18,1
Elsewhere,133,"96,800","72,600",62,1/1/18,1/1/18,
Malaysia (Ringgit),,,,,,,
Kuala Lumpur,225,880,660,52,1/3/18,1/4/17,
Kota Kinabalu (Sabah),179,700,530,60,1/3/18,1/4/17,
Melaka,207,810,610,62,1/3/18,1/4/17,
Penang,177,690,520,61,1/3/18,1/4/17,
